#   kval   P_lin   I_00   I_01   I_02   I_03   I_10   I_11   I_12   I_13   I_20   I_21   I_22   I_23   I_30   I_31   I_32   I_33   J_00   J_01   J_02   J_10   J_11   J_20   K_00   K_00_s   K_01   K_01_s   K_02_s   K_10   K_10_s   K_11   K_11_s   K_20   K_20_s   K_30   K_30_s   sigma_3
0.000199526  743.755  3.74679e-07  2.61224e-07  -3.97091e-07  -8.98699e-07  5.52493e-07  4.95903e-07  8.21378e-07  7.62452e-07  1.55544e-06  9.27557e-07  1.25229e-07  1.27939e-05  -2.94801e-08  1.19706e-06  -4.44858e-08  1.05354e-07  68817.8  38778.8  -160417  76650  28540.6  339422  -0.00031204  -0.000208424  -3430.95  -1524.88  -2287.31  -0.00281385  -0.00187508  -0.000813633  -0.000543918  -39.6258  -26.4102  0.0514815  -0.187601  6.84055e-07
0.000204174  759.881  4.13021e-07  2.87956e-07  -4.37727e-07  -9.75367e-07  6.06316e-07  5.46288e-07  9.04161e-07  8.42967e-07  1.71462e-06  1.02266e-06  1.34243e-07  1.40898e-05  -3.36796e-08  1.31381e-06  -4.8765e-08  1.22408e-07  76172.4  60915.5  -157895  112613  33602.5  421741  -0.000337116  -0.000225182  -3426.68  -1522.98  -2284.46  -0.00304009  -0.00202583  -0.000818162  -0.000547093  -42.4747  -28.3089  0.0612554  -0.197783  7.36984e-07
0.00020893  776.45  4.55195e-07  3.17359e-07  -4.82424e-07  -1.05848e-06  6.65298e-07  6.01666e-07  9.95076e-07  9.31716e-07  1.8897e-06  1.12728e-06  1.43862e-07  1.55138e-05  -3.84069e-08  1.44175e-06  -5.33728e-08  1.4169e-07  3467.77  11919  -21604.3  23420.4  10436.5  33542.9  -0.000363991  -0.000243143  -3422.15  -1520.97  -2281.45  -0.00328258  -0.00218739  -0.00081786  -0.000547065  -45.4935  -30.3208  0.0721466  -0.208297  7.93764e-07
0.000213796  793.476  5.01573e-07  3.49693e-07  -5.3158e-07  -1.14858e-06  7.2993e-07  6.62523e-07  1.0949e-06  1.02952e-06  2.08223e-06  1.24236e-06  1.54126e-07  1.70781e-05  -4.37258e-08  1.58195e-06  -5.83303e-08  1.63452e-07  -14971.7  -7910.07  20496  -11942.8  -2043.69  14272.5  -0.000392776  -0.000262382  -3417.36  -1518.84  -2278.25  -0.00354232  -0.00236045  -0.000812069  -0.000543395  -48.6895  -32.4509  0.0840594  -0.219261  8.54654e-07
0.000218776  810.966  5.52568e-07  3.85245e-07  -5.85632e-07  -1.24629e-06  8.00748e-07  7.29388e-07  1.2045e-06  1.13727e-06  2.29394e-06  1.36891e-06  1.65081e-07  1.87964e-05  -4.97033e-08  1.73556e-06  -6.36604e-08  1.87982e-07  89758.1  63126.7  -159199  106485  36016.6  518481  -0.000423588  -0.000282977  -3412.29  -1516.59  -2274.87  -0.00382037  -0.00254571  -0.000800046  -0.000535589  -52.0701  -34.7039  0.0972403  -0.230567  9.19931e-07
0.000223872  828.936  6.08631e-07  4.24328e-07  -6.4506e-07  -1.35225e-06  8.78344e-07  8.02842e-07  1.3248e-06  1.25595e-06  2.52668e-06  1.50805e-06  1.76775e-07  2.06835e-05  -5.64188e-08  1.90387e-06  -6.93877e-08  2.15604e-07  -105944  -80310.4  196376  -126569  -44879.8  -554881  -0.000456548  -0.00030501  -3406.93  -1514.21  -2271.3  -0.00411782  -0.00274389  -0.000781017  -0.000523133  -55.6427  -37.0849  0.111646  -0.242301  9.89886e-07
0.000229087  847.401  6.70255e-07  4.67287e-07  -7.10389e-07  -1.4672e-06  9.63363e-07  8.83522e-07  1.45682e-06  1.38665e-06  2.7825e-06  1.66103e-06  1.89264e-07  2.27557e-05  -6.39595e-08  2.08827e-06  -7.55384e-08  2.46682e-07  -17223.2  -16529.4  21683.5  -30105  -5999.3  -115539  -0.000491785  -0.000328567  -3401.27  -1511.69  -2267.53  -0.00443585  -0.00295578  -0.000754157  -0.000505481  -59.4147  -39.5988  0.127424  -0.254425  1.06483e-06
0.000234423  866.373  7.37983e-07  5.14498e-07  -7.82197e-07  -1.59191e-06  1.05651e-06  9.72125e-07  1.60169e-06  1.53055e-06  3.06367e-06  1.82918e-06  2.02606e-07  2.50308e-05  -7.24231e-08  2.29029e-06  -8.2141e-08  2.81624e-07  -8902.3  -3146.72  11803.7  -8643.05  -5910.24  -75897.2  -0.000529433  -0.000353737  -3395.3  -1509.04  -2263.55  -0.00477566  -0.00318217  -0.00071855  -0.000482022  -63.3938  -42.2507  0.144785  -0.266859  1.14509e-06
0.000239883  885.858  8.12409e-07  5.66376e-07  -8.61116e-07  -1.72725e-06  1.15857e-06  1.06941e-06  1.76063e-06  1.68894e-06  3.37265e-06  2.01399e-06  2.16866e-07  2.75283e-05  -8.192e-08  2.5116e-06  -8.92254e-08  3.20891e-07  -2657.24  10147.9  -20248.6  26221.9  7208.11  64628.1  -0.000569633  -0.000380617  -3389.01  -1506.25  -2259.36  -0.00513854  -0.00342393  -0.000673241  -0.000452123  -67.5875  -45.0456  0.163534  -0.279796  1.23102e-06
0.000245471  905.875  8.94186e-07  6.23374e-07  -9.4784e-07  -1.87416e-06  1.27038e-06  1.17622e-06  1.93497e-06  1.86325e-06  3.71215e-06  2.21707e-06  2.32116e-07  3.02695e-05  -9.25736e-08  2.75405e-06  -9.68243e-08  3.65e-07  5425.48  3080.54  -5126.45  -632.71  596.95  -3680.78  -0.000612533  -0.000409303  -3382.39  -1503.31  -2254.94  -0.00552582  -0.00368195  -0.000617189  -0.000415093  -72.0035  -47.9886  0.184086  -0.293023  1.32299e-06
