#   kval   P_lin   I_00   I_01   I_02   I_03   I_10   I_11   I_12   I_13   I_20   I_21   I_22   I_23   I_30   I_31   I_32   I_33   J_00   J_01   J_02   J_10   J_11   J_20   K_00   K_00_s   K_01   K_01_s   K_02_s   K_10   K_10_s   K_11   K_11_s   K_20   K_20_s   K_30   K_30_s   sigma_3
0.00312608  10843.7  0.0313198  0.0215479  -0.0342016  -0.0441362  0.0410921  0.0324898  0.0382967  0.0677374  0.130165  0.0807205  0.0106066  0.761232  -0.0287756  0.0754177  0.00348007  0.137838  -3.57061  -7.17882  -24.2263  0.0236889  -10.7234  -23.9617  -0.247034  -0.198891  -885.285  -404.235  -598.462  -2.61033  -1.70192  2.09721  1.29144  -2426.38  -1611.01  49.8662  -8.55721  0.000926855
0.00323594  11149.2  0.0358806  0.0246891  -0.0391705  -0.0504895  0.0470726  0.0369785  0.0430131  0.0775685  0.149118  0.0926115  0.0124002  0.862927  -0.0337838  0.0859214  0.00417537  0.162365  -3.31749  -6.99449  -24.4876  0.2513  -10.6284  -22.6818  -0.261196  -0.213301  -845.82  -387.444  -572.739  -2.79218  -1.81844  2.25104  1.37934  -2452.66  -1628.06  52.0336  -8.70351  0.000997055
0.00334965  11462.1  0.0411006  0.0282857  -0.0448522  -0.0577466  0.0539159  0.0420784  0.0482742  0.0888142  0.17081  0.106247  0.0144937  0.977827  -0.0396505  0.0978622  0.00500573  0.191202  -3.41257  -7.06197  -24.405  0.218952  -10.6551  -23.2639  -0.275877  -0.22877  -807.353  -371.146  -547.721  -2.98622  -1.94254  2.41637  1.47293  -2478.27  -1644.64  54.3822  -8.78381  0.00107235
0.00346737  11779.4  0.0470741  0.0324034  -0.0513471  -0.0660339  0.061745  0.0478711  0.0541368  0.101675  0.195631  0.12188  0.0169363  1.10758  -0.0465201  0.111432  0.00599674  0.225094  -3.42654  -7.06033  -24.4019  0.190298  -10.6537  -23.529  -0.291047  -0.245378  -770.511  -355.623  -523.831  -3.19321  -2.07467  2.59387  1.57242  -2502.79  -1660.46  56.492  -9.07844  0.00115305
0.00358922  12102.8  0.0539083  0.037117  -0.0587696  -0.0754952  0.0707  0.0544492  0.0606626  0.116381  0.224029  0.139802  0.0197854  1.25404  -0.0545609  0.126848  0.00717877  0.264911  -3.43935  -7.02636  -24.3292  0.164905  -10.6467  -23.4313  -0.306667  -0.263214  -735.408  -340.931  -501.147  -3.41395  -2.2153  2.78412  1.67788  -2526.14  -1675.46  58.3361  -9.6072  0.00123952
0.00371535  12432.4  0.061726  0.0425119  -0.0672492  -0.086294  0.0809404  0.0619171  0.067918  0.133192  0.256511  0.160345  0.0231073  1.41926  -0.0639683  0.144355  0.00858781  0.311671  -3.47903  -7.06756  -24.1752  0.0624004  -10.6607  -23.6149  -0.322688  -0.282375  -701.635  -326.889  -479.4  -3.64929  -2.36494  2.98794  1.78954  -2548.61  -1689.84  60.2427  -10.1545  0.00133218
0.00384592  12766.8  0.0706668  0.0486858  -0.0769335  -0.0986156  0.0926481  0.070393  0.0759751  0.152406  0.293658  0.18389  0.0269791  1.60554  -0.0749699  0.164229  0.0102664  0.366562  -3.49619  -7.07167  -24.1712  0.101335  -10.654  -23.6274  -0.339045  -0.302964  -668.797  -313.326  -458.328  -3.90015  -2.52412  3.2065  1.90782  -2570.46  -1703.75  62.4903  -10.5381  0.00143149
0.00398107  13107  0.0808899  0.0557499  -0.0879899  -0.112671  0.10603  0.0800103  0.0849113  0.17436  0.33613  0.21087  0.0314901  1.81546  -0.0878299  0.18678  0.0122649  0.430973  -3.48357  -7.05366  -24.1732  0.123967  -10.6334  -23.5622  -0.355657  -0.325095  -636.937  -300.266  -437.966  -4.16745  -2.69339  3.44111  2.03318  -2591.64  -1717.19  64.9915  -10.8185  0.0015379
0.00412098  13452.8  0.0925766  0.0638315  -0.100608  -0.128698  0.121322  0.0909198  0.0948092  0.19944  0.384679  0.241782  0.0367436  2.05188  -0.102855  0.212361  0.0146428  0.506521  -3.5128  -7.06461  -24.0825  0.072604  -10.6343  -23.6306  -0.372423  -0.34889  -606.365  -287.85  -418.522  -4.45216  -2.8733  3.69296  2.16595  -2611.97  -1730  67.4342  -11.2056  0.00165188
0.0042658  13802.6  0.105933  0.0730753  -0.115003  -0.146968  0.138792  0.103292  0.105757  0.228083  0.440162  0.277193  0.0428594  2.31799  -0.120402  0.241365  0.0174701  0.595094  -3.45795  -7.03289  -24.1491  0.120002  -10.6065  -23.4408  -0.38922  -0.374483  -577.172  -276.123  -400.063  -4.75532  -3.06445  3.96313  2.30633  -2631.37  -1742.15  69.756  -11.7433  0.00177392
0.0044157  14158.1  0.121195  0.0836466  -0.131419  -0.167787  0.158744  0.117318  0.117849  0.260786  0.503554  0.317751  0.0499757  2.61732  -0.140884  0.274237  0.0208299  0.698887  -3.48642  -7.04904  -24.0643  0.0912444  -10.6079  -23.5328  -0.405901  -0.40202  -549.146  -264.996  -382.45  -5.07799  -3.26748  4.25293  2.4546  -2649.98  -1753.72  72.188  -12.2808  0.0019046
0.00457088  14518  0.138629  0.0957336  -0.150132  -0.191504  0.181524  0.133215  0.131185  0.298114  0.575962  0.364194  0.0582527  2.95383  -0.164778  0.311476  0.0248195  0.82046  -3.43524  -7.00589  -24.1144  0.141386  -10.577  -23.3116  -0.422291  -0.43166  -522.123  -254.399  -365.579  -5.42129  -3.48301  4.56393  2.61117  -2667.93  -1764.78  74.8551  -12.7383  0.00204451
0.00473151  14882.5  0.158538  0.109551  -0.171455  -0.21851  0.207525  0.151227  0.145867  0.340708  0.658645  0.417365  0.0678751  3.33188  -0.192641  0.353643  0.0295537  0.96279  -3.45214  -7.01255  -24.056  0.112371  -10.576  -23.3384  -0.438181  -0.463575  -496.173  -244.369  -349.501  -5.78639  -3.71173  4.89779  2.77642  -2685.15  -1775.31  77.6316  -13.2022  0.00219427
0.00489779  15250.1  0.181268  0.125343  -0.195739  -0.249251  0.237194  0.17163  0.162005  0.389297  0.753035  0.478227  0.079056  3.75631  -0.225111  0.401367  0.0351675  1.12934  -3.47196  -7.02522  -23.9597  0.079112  -10.575  -23.5047  -0.453323  -0.497955  -471.385  -234.951  -334.281  -6.17448  -3.95432  5.25614  2.95061  -2701.59  -1785.25  80.3756  -13.77  0.00235453
0.00506991  15621.6  0.207211  0.143387  -0.223385  -0.284228  0.271035  0.194733  0.17971  0.444706  0.860756  0.547875  0.0920415  4.2325  -0.262932  0.455353  0.0418196  1.32412  -3.48973  -7.02875  -23.8947  0.050351  -10.5666  -23.5828  -0.467429  -0.535004  -447.679  -226.115  -319.871  -6.58683  -4.21151  5.64075  3.13402  -2717.31  -1794.64  83.2063  -14.3658  0.002526
0.00524807  15996.9  0.236811  0.164  -0.25484  -0.324008  0.309623  0.220885  0.199099  0.507869  0.983651  0.627557  0.107115  4.76636  -0.306959  0.516394  0.0496966  1.5518  -3.47359  -7.00858  -23.8858  0.0695273  -10.5496  -23.4874  -0.480162  -0.574949  -424.961  -217.824  -306.213  -7.02471  -4.48404  6.05362  3.32697  -2732.36  -1803.51  86.204  -14.9396  0.00270944
0.0054325  16373.9  0.270574  0.187541  -0.290614  -0.369232  0.353606  0.25048  0.220288  0.579848  1.12381  0.718694  0.124602  5.36447  -0.35818  0.585374  0.059017  1.81778  -3.48122  -7.00894  -23.8215  0.0470341  -10.5407  -23.5207  -0.491129  -0.618034  -403.24  -210.088  -293.32  -7.48945  -4.77268  6.49691  3.52976  -2746.74  -1811.86  89.3012  -15.5399  0.00290565
